date,county,fips,confirmed_cases,deaths,new_confirmed_cases,new_deaths
1/26/20,Alameda,1,0,0,,
1/31/20,Alameda,1,0,0,0,0
2/2/20,Alameda,1,0,0,0,0
2/20/20,Alameda,1,0,0,0,0
2/21/20,Alameda,1,0,0,0,0
2/26/20,Alameda,1,0,0,0,0
2/28/20,Alameda,1,0,0,0,0
2/29/20,Alameda,1,0,0,0,0
3/1/20,Alameda,1,1,0,1,0
3/2/20,Alameda,1,1,0,0,0
3/3/20,Alameda,1,2,0,1,0
3/4/20,Alameda,1,2,0,0,0
3/5/20,Alameda,1,2,0,0,0
3/6/20,Alameda,1,3,0,1,0
3/7/20,Alameda,1,3,0,0,0
3/8/20,Alameda,1,3,0,0,0
3/9/20,Alameda,1,3,0,0,0
3/10/20,Alameda,1,5,0,2,0
3/11/20,Alameda,1,5,0,0,0
3/12/20,Alameda,1,9,0,4,0
3/13/20,Alameda,1,9,0,0,0
3/14/20,Alameda,1,10,0,1,0
3/15/20,Alameda,1,18,0,8,0
3/16/20,Alameda,1,21,0,3,0
3/17/20,Alameda,1,30,0,9,0
3/18/20,Alameda,1,34,0,4,0
3/19/20,Alameda,1,38,0,4,0
3/20/20,Alameda,1,50,0,12,0
3/21/20,Alameda,1,71,0,21,0
3/22/20,Alameda,1,105,0,34,0
3/23/20,Alameda,1,122,1,17,1
3/24/20,Alameda,1,135,2,13,1
3/25/20,Alameda,1,135,2,0,0
3/26/20,Alameda,1,178,4,43,2
3/27/20,Alameda,1,220,4,42,0
3/28/20,Alameda,1,256,6,36,2
3/29/20,Alameda,1,270,7,14,1
3/30/20,Alameda,1,283,7,13,0
3/31/20,Alameda,1,313,7,30,0
4/1/20,Alameda,1,359,8,46,1
4/2/20,Alameda,1,396,9,37,1
4/3/20,Alameda,1,443,12,47,3
4/4/20,Alameda,1,537,12,94,0
4/5/20,Alameda,1,566,12,29,0
4/6/20,Alameda,1,588,13,22,1
4/7/20,Alameda,1,634,15,46,2
4/8/20,Alameda,1,674,16,40,1
4/9/20,Alameda,1,715,17,41,1
4/10/20,Alameda,1,768,20,53,3
4/11/20,Alameda,1,808,21,40,1
4/12/20,Alameda,1,845,23,37,2
4/13/20,Alameda,1,888,23,43,0
4/14/20,Alameda,1,887,23,-1,0
