Date Time,Site Name,Value,Averaging Period,Units,California State Standard,National Ambient Air Quality Standard by U.S. EPA
4/29/20 12:00,Central Los Angeles,1.9,1-hr,pphm,18,N/A
4/29/20 13:00,Central Los Angeles,1.7,1-hr,pphm,18,N/A
4/29/20 14:00,Central Los Angeles,0.9,1-hr,pphm,18,N/A
4/29/20 15:00,Central Los Angeles,0.7,1-hr,pphm,18,N/A
4/29/20 16:00,Central Los Angeles,0.5,1-hr,pphm,18,N/A
4/29/20 17:00,Central Los Angeles,0.5,1-hr,pphm,18,N/A
4/29/20 18:00,Central Los Angeles,0.7,1-hr,pphm,18,N/A
4/29/20 19:00,Central Los Angeles,0.6,1-hr,pphm,18,N/A
4/29/20 20:00,Central Los Angeles,0.7,1-hr,pphm,18,N/A
4/29/20 21:00,Central Los Angeles,0.7,1-hr,pphm,18,N/A
4/29/20 22:00,Central Los Angeles,1,1-hr,pphm,18,N/A
4/29/20 23:00,Central Los Angeles,1.3,1-hr,pphm,18,N/A
4/30/20 0:00,Central Los Angeles,0.4,1-hr,pphm,18,N/A
4/30/20 1:00,Central Los Angeles,0.5,1-hr,pphm,18,N/A
4/30/20 2:00,Central Los Angeles,0.5,1-hr,pphm,18,N/A
4/30/20 3:00,Central Los Angeles,0.6,1-hr,pphm,18,N/A
4/30/20 4:00,Central Los Angeles,1.2,1-hr,pphm,18,N/A
4/30/20 5:00,Central Los Angeles,1.6,1-hr,pphm,18,N/A
4/30/20 6:00,Central Los Angeles,1.5,1-hr,pphm,18,N/A
4/30/20 7:00,Central Los Angeles,1.6,1-hr,pphm,18,N/A
4/30/20 8:00,Central Los Angeles,1.7,1-hr,pphm,18,N/A
4/30/20 14:00,Central Los Angeles,0.7,1-hr,pphm,18,N/A
4/30/20 15:00,Central Los Angeles,0.6,1-hr,pphm,18,N/A
4/30/20 16:00,Central Los Angeles,0.6,1-hr,pphm,18,N/A
4/30/20 17:00,Central Los Angeles,0.6,1-hr,pphm,18,N/A
4/30/20 18:00,Central Los Angeles,0.7,1-hr,pphm,18,N/A
4/30/20 19:00,Central Los Angeles,0.9,1-hr,pphm,18,N/A
4/30/20 20:00,Central Los Angeles,1.6,1-hr,pphm,18,N/A
4/30/20 21:00,Central Los Angeles,1.6,1-hr,pphm,18,N/A
4/30/20 22:00,Central Los Angeles,1.8,1-hr,pphm,18,N/A
4/30/20 23:00,Central Los Angeles,1.3,1-hr,pphm,18,N/A
